id_str,retweet_count,favorite_count
835297930240217089,2792,15710
835264098648616962,1574,7361
835246439529840640,64,2012
835172783151792128,5374,24947
835152434251116546,2815,21273
834931633769889797,1517,10276
834786237630337024,5184,20515
834574053763584002,2356,13000
834477809192075265,9943,0
834458053273591808,1569,9171
834209720923721728,4420,19566
834167344700198914,3430,15085
834089966724603904,2004,9588
834086379323871233,2065,12446
833863086058651648,2248,12823
833826103416520705,3544,17332
833732339549220864,210,0
833722901757046785,3041,19979
833479644947025920,1913,14225
833124694597443584,4526,19294
832998151111966721,2056,12634
832769181346996225,38,0
832757312314028032,3389,16096
832682457690300417,2715,11328
832645525019123713,495,2791
832636094638288896,2604,15135
832397543355072512,2071,11428
832369877331693569,2987,16386
832273440279240704,2187,10844
832215909146226688,5825,0
832215726631055365,8727,0
832088576586297345,2,60
832040443403784192,8980,0
832032802820481025,4370,17043
831939777352105988,5750,22859
831926988323639298,34,324
831911600680497154,6082,26248
831670449226514432,1713,9955
831650051525054464,1815,6799
831552930092285952,2196,8580
831322785565769729,1469,8911
831315979191906304,1050,6269
831309418084069378,2309,11289
831262627380748289,1924,11356
830956169170665475,1403,7636
830583320585068544,15685,63481
830173239259324417,5335,0
830097400375152640,2757,9306
829878982036299777,4683,0
829861396166877184,1813,11710
829501995190984704,9943,30345
829449946868879360,1892,10023
829141528400556032,6881,23247
829011960981237760,15380,51024
828801551087042563,3218,0
828770345708580865,5497,24460
828708714936930305,10519,34806
828650029636317184,1262,9108
828409743546925057,1097,6107
828408677031882754,1209,7364
828381636999917570,2092,12053
828376505180889089,1005,7089
828372645993398273,2767,12064
828361771580813312,168,2097
828046555563323392,2706,11221
828011680017821696,2030,9924
827933404142436356,4922,19159
827653905312006145,2839,14838
827600520311402496,877,7171
827324948884643840,2853,15187
827199976799354881,2092,10160
826958653328592898,4683,20626
826848821049180160,9509,34563
826615380357632002,3751,0
826598799820865537,233,4926
826598365270007810,2210,9584
826476773533745153,3966,17603
826240494070030336,2448,12709
826204788643753985,865,4674
826115272272650244,2927,14960
825876512159186944,1753,10053
825829644528148480,2365,12231
825535076884762624,16647,54777
825147591692263424,4253,17539
825120256414846976,1180,0
825026590719483904,1180,5995
824796380199809024,5185,0
824775126675836928,3321,14300
824663926340194305,1668,10069
824325613288833024,10063,11346
824297048279236611,3637,14428
824025158776213504,572,4650
823939628516474880,2577,10219
823719002937630720,10526,0
823699002998870016,2372,13428
823581115634085888,2478,12462
823333489516937216,21,670
823322678127919110,3784,15056
823269594223824897,9360,0
822975315408461824,3254,16637
822872901745569793,40627,125852
822859134160621569,2143,12659
822647212903690241,6034,0
822610361945911296,2777,14189
822489057087389700,6035,17372
822462944365645825,13398,26669
822244816520155136,9360,33566
822163064745328640,4467,0
821886076407029760,2175,10837
821813639212650496,3169,0
821765923262631936,1577,8033
821522889702862852,1651,7691
821421320206483457,5230,0
821407182352777218,4062,11237
821153421864615936,9,236
821149554670182400,1849,8231
821107785811234820,2003,9211
821044531881721856,2156,12145
820837357901512704,6344,0
820749716845686786,9363,30273
820690176645140481,3050,11745
820494788566847489,532,0
820446719150292993,2431,0
820314633777061888,532,3220
820078625395449857,5898,18944
820013781606658049,1100,0
819952236453363712,1100,5109
819924195358416896,4612,12423
819711362133872643,2924,12807
819588359383371776,1896,9290
819347104292290561,1133,6946
819238181065359361,388,2168
819227688460238848,6344,22102
819015337530290176,35102,0
819015331746349057,18061,0
819006400881917954,18061,43602
819004803107983360,35102,83765
818646164899774465,19785,0
818627210458333184,7169,21537
818614493328580609,2385,9453
818588835076603904,5780,0
818536468981415936,2313,10413
818307523543449600,7593,0
818259473185828864,2125,10559
818145370475810820,2413,11782
817908911860748288,754,4666
817827839487737858,25551,49337
817777686764523521,2552,10370
817536400337801217,2770,11285
